_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry
100,5261,CHARLOTTETOWN BLVD,6m SOUTH OF,MCCULLEY ST,None,None,CHARLOTTETOWN JR P.S.,2643,30059706,,2643,"{""coordinates"": [[-79.14254400611334, 43.78167699687025]], ""type"": ""MultiPoint""}"
101,5262,CHARTLAND BLVD S,None,BRIARSCROSS BLVD,None,None,IROQUOIS JR P.S.,2644,104716,13443082,2644,"{""coordinates"": [[-79.2698199990036, 43.8032070002408]], ""type"": ""MultiPoint""}"
102,5263,CHARTLAND BLVD S,None,SHELLAMWOOD TRL,None,None,CHARTLAND JR P.S.,2645,104983,13443360,2645,"{""coordinates"": [[-79.27819599630983, 43.80036099973296]], ""type"": ""MultiPoint""}"
103,5266,CHRISTIE ST,None,LAMBERTLODGE AVE,None,None,None,2646,30104691,13462935,2646,"{""coordinates"": [[-79.42238300392613, 43.67383699983856]], ""type"": ""MultiPoint""}"
104,5267,CHRISTIE ST,None,ESSEX ST,None,None,None,2647,8009337,13463865,2647,"{""coordinates"": [[-79.42029200597689, 43.66833799976059]], ""type"": ""MultiPoint""}"
105,5268,CHRISTIE ST,None,TYRREL AVE,None,None,None,2648,14003782,13462183,2648,"{""coordinates"": [[-79.4242770016418, 43.67821799762113]], ""type"": ""MultiPoint""}"
106,5269,CHRISTIE ST,None,YARMOUTH RD,None,None,None,2649,14012373,13463568,2649,"{""coordinates"": [[-79.42093200612237, 43.670010999580875]], ""type"": ""MultiPoint""}"
107,5272,CLONMORE DR,None,PARKLAND RD,None,None,None,2650,113186,13460547,2650,"{""coordinates"": [[-79.28013499733295, 43.68505299672905]], ""type"": ""MultiPoint""}"
108,5273,CLONMORE DR,None,QUEENSBURY AVE,None,None,None,2651,2271414,13459524,2651,"{""coordinates"": [[-79.27657999384606, 43.690643003251125]], ""type"": ""MultiPoint""}"
109,5274,CLYDE AVE,None,BANNOCKBURN AVE,None,None,MONTESORI - BANNOCKBURN SCHOOL,2652,443340,13453080,2652,"{""coordinates"": [[-79.42447900169107, 43.73306800389961]], ""type"": ""MultiPoint""}"
110,5277,CORNWALLIS DR,None,BLAISDALE RD,None,None,None,2653,109931,13449918,2653,"{""coordinates"": [[-79.27932399877484, 43.75118899962086]], ""type"": ""MultiPoint""}"
111,5278,CORONATION DR,90m WEST OF,SHOREVIEW DR,None,None,PETER SECOR JR P.S.,2654,108815,,2654,"{""coordinates"": [[-79.17983399761219, 43.76292400259423]], ""type"": ""MultiPoint""}"
112,5279,COSBURN AVE,None,LINSMORE CRES,None,None,None,2655,1405,,2655,"{""coordinates"": [[-79.33447300200312, 43.692737003097335]], ""type"": ""MultiPoint""}"
113,5280,COSBURN AVE,None,LOGAN AVE,None,None,None,2656,20044957,,2656,"{""coordinates"": [[-79.35316699946037, 43.68856699570784]], ""type"": ""MultiPoint""}"
114,5281,COXWELL AVE,None,EARL HAIG AVE,None,None,EARL HAIG JR PS,2657,10557913,,2657,"{""coordinates"": [[-79.32268199450128, 43.681148003576055]], ""type"": ""MultiPoint""}"
115,5282,CRAIGLEE DR,None,HASLAM ST,None,None,None,2658,112502,,2658,"{""coordinates"": [[-79.25846200010199, 43.70543500229548]], ""type"": ""MultiPoint""}"
116,5283,CRENDON DR,70m SOUTH OF,ULVERSTON RD,None,None,BROADACRES JR SCHOOL,2659,7515109,,2659,"{""coordinates"": [[-79.57230699645137, 43.64765500352171]], ""type"": ""MultiPoint""}"
117,5284,CRESCENT RD,None,CRESCENT MOUNT PLEASANT RAMP,None,None,MOOREDALE HOUSE COMMUNITY CENTRE,2660,20145557,,2660,"{""coordinates"": [[-79.38045499885541, 43.67827500154077]], ""type"": ""MultiPoint""}"
118,5285,CROW TRL,40m SOUTH OF,TUNMEAD SQ,None,None,TOM LONGBOAT JR PS,2661,104120,,2661,"{""coordinates"": [[-79.23236999614426, 43.81020099652406]], ""type"": ""MultiPoint""}"
119,5286,CROW TRL,30m WEST OF,WINGARDEN CRT,None,None,ST GABRIEL LALEMONT CATHOLIC SCHOOL,2662,103863,,2662,"{""coordinates"": [[-79.22711400598952, 43.81202300143111]], ""type"": ""MultiPoint""}"
120,5287,CUMMER AVE,None,CONACHER DR,None,None,None,2663,436897,,2663,"{""coordinates"": [[-79.39690900612295, 43.79150999746158]], ""type"": ""MultiPoint""}"
121,5288,CUMMER AVE,None,RUDDINGTON DR,None,None,RUDDINGTON PARK,2664,30093577,,2664,"{""coordinates"": [[-79.3903159995624, 43.79312799844552]], ""type"": ""MultiPoint""}"
122,5290,DAVENPORT RD,None,GREENLAW AVE,None,None,None,2665,20045924,,2665,"{""coordinates"": [[-79.4454970016118, 43.67202700381694]], ""type"": ""MultiPoint""}"
123,5292,DAVENPORT RD,None,HOWLAND AVE,None,None,None,2666,1140941,,2666,"{""coordinates"": [[-79.41343999810924, 43.67679699922075]], ""type"": ""MultiPoint""}"
124,5293,DAVISVILLE AVE,125m WEST OF,PAILTON CRES,None,None,None,2667,11272480,,2667,"{""coordinates"": [[-79.39241999557974, 43.69918000352981]], ""type"": ""MultiPoint""}"
125,5295,DONLANDS AVE,None,FIELDING AVE,None,None,WILKINSON JR PUBLIC SCHOOL,2668,1139911,,2668,"{""coordinates"": [[-79.33800000004558, 43.68218000150185]], ""type"": ""MultiPoint""}"
126,5296,DONLANDS AVE,None,PLAINS RD,None,None,None,2669,10269630,,2669,"{""coordinates"": [[-79.3424500042689, 43.69310000159923]], ""type"": ""MultiPoint""}"
127,5297,DONLANDS AVE,50m NORTH OF,MEMORIAL PARK AVE,None,None,HOLY CROSS CATHOLIC SCHOOL,2670,14646499,,2670,"{""coordinates"": [[-79.34115499500025, 43.68985800430405]], ""type"": ""MultiPoint""}"
128,5298,THE DONWAY E,None,GREENLAND RD,None,None,None,2671,30004314,,2671,"{""coordinates"": [[-79.33993000108005, 43.73380000005125]], ""type"": ""MultiPoint""}"
129,5299,THE DONWAY W,None,DUNCAIRN RD,None,None,None,2672,30004508,,2672,"{""coordinates"": [[-79.3465470006734, 43.73960799625068]], ""type"": ""MultiPoint""}"
130,5300,THE KINGSWAY,None,HARTFIELD RD,None,None,HUMBER VALLEY JR MIDDLE SCHOOL,2673,910250,,2673,"{""coordinates"": [[-79.52662399819614, 43.66646300221163]], ""type"": ""MultiPoint""}"
131,5301,THE KINGSWAY,None,PRINCE GEORGE DR,None,None,None,2674,909914,13463815,2674,"{""coordinates"": [[-79.5410639991236, 43.67023600131975]], ""type"": ""MultiPoint""}"
132,5302,PRINCESS MARGARET BLVD,None,PRINCESS ANNE CRES,None,None,ST GEORGE'S JR SCHOOL,2675,909765,,2675,"{""coordinates"": [[-79.54247599720124, 43.67274999729569]], ""type"": ""MultiPoint""}"
133,5303,ELMHURST DR,None,DRUMHELLER RD,None,None,None,2676,907596,,2676,"{""coordinates"": [[-79.56371200027453, 43.72389000042026]], ""type"": ""MultiPoint""}"
