,datetime,Time,Vehicle,Gap,Headway,Schedule,Destination,day,day of the week,stop,stopID,Riders after stop,sch_adherence,bunched_or_gapped,mins delayed,bunched,gapped,morning_peak,midday,afternoon_peak,early_eve,late_eve,overnight,morning_peak_bunches,midday_bunches,afternoon_peak_bunches,early_eve_bunches,late_eve_bunches,morning_peak_gaps,midday_gaps,afternoon_peak_gaps,early_eve_gaps,late_eve_gaps,bound,bound_ordinal,_row_id,cond_sum,prev3hr_delays,prev_bunches
758316,2025-12-02 14:01:17,0 days 14:01:17,4655.0,0 days 00:13:29,10:03,2:36 behind 1:58:41PM,West to High Park,2025-12-02,1,Main St at Gerrard St East,4563,,2.6,0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,2.0,758316,0.0,2.65,0.0
758317,2025-12-02 14:02:08,0 days 14:02:08,4608.0,0 days 00:09:08,10:00,4:41 ahead of 2:06:49PM,West to High Park,2025-12-02,1,Parliament St,10427,,-4.683333333333334,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,28.0,758317,7.0,315.71666666666664,0.0
758318,2025-12-02 14:02:17,0 days 14:02:17,4432.0,0 days 00:13:18,8:23,0:41 behind 2:01:36PM,West to High Park,2025-12-02,1,Prust Ave,5053,,0.6833333333333333,0,0.6833333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,15.0,758318,4.0,201.66666666666663,0.0
758319,2025-12-02 14:02:48,0 days 14:02:48,4659.0,0 days 00:46:42,10:00,29:43 behind 1:33:05PM,West to High Park,2025-12-02,1,Dundas St West at Howard Park Ave,8595,,29.716666666666665,1,29.716666666666665,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,55.0,758319,0.0,0.0,0.0
758320,2025-12-02 14:03:05,0 days 14:03:05,4495.0,,10:00,Scheduled at 2:03:05PM,West to High Park,2025-12-02,1,Dundas St West at Howard Park Ave,8595,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,55.0,758320,0.0,0.0,0.0
758321,2025-12-02 14:03:12,0 days 14:03:12,4608.0,0 days 00:08:48,10:00,5:23 ahead of 2:08:35PM,West to High Park,2025-12-02,1,Parliament St at Carlton St,4615,,-5.383333333333334,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,29.0,758321,12.0,497.15,0.0
758322,2025-12-02 14:04:47,0 days 14:04:47,4659.0,0 days 00:46:36,10:00,29:58 behind 1:34:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Roncesvalles Ave,1569,,29.966666666666665,1,29.966666666666665,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,56.0,758322,0.0,63.25,0.0
758323,2025-12-02 14:04:49,0 days 14:04:49,4495.0,,10:00,Scheduled at 2:04:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Roncesvalles Ave,1569,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,56.0,758323,0.0,63.25,0.0
758324,2025-12-02 14:05:49,0 days 14:05:49,4495.0,,10:00,Scheduled at 2:05:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Indian Rd,971,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,57.0,758324,1.0,127.65,0.0
758325,2025-12-02 14:06:07,0 days 14:06:07,4655.0,0 days 00:13:24,10:08,2:17 behind 2:03:50PM,West to High Park,2025-12-02,1,Bowmore Rd,10003,,2.283333333333333,0,2.283333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,8.0,758325,0.0,0.0,0.0
758326,2025-12-02 14:06:32,0 days 14:06:32,4495.0,,10:00,Scheduled at 2:06:32PM,West to High Park,2025-12-02,1,Howard Park Ave at Parkside Dr,8107,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,58.0,758326,2.0,167.1,0.0
758327,2025-12-02 14:06:41,0 days 14:06:41,4614.0,0 days 00:11:03,10:00,23:17 behind 1:43:24PM,West to High Park,2025-12-02,1,Havelock St,6811,,23.28333333333333,0,23.28333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,49.0,758327,0.0,0.0,0.0
758328,2025-12-02 14:06:42,0 days 14:06:42,4659.0,0 days 00:47:18,10:00,30:53 behind 1:35:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Indian Rd,971,,30.883333333333333,1,30.883333333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,57.0,758328,1.0,127.65,0.0
758329,2025-12-02 14:07:09,0 days 14:07:09,4655.0,0 days 00:12:03,10:10,1:24 behind 2:05:45PM,West to High Park,2025-12-02,1,Gerrard St East  at Coxwell Ave,8206,,1.4,0,1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,10.0,758329,1.0,24.28333333333333,0.0
758330,2025-12-02 14:07:48,0 days 14:07:48,4659.0,0 days 00:46:34,10:00,31:12 behind 1:36:36PM,West to High Park,2025-12-02,1,Howard Park Ave at Parkside Dr,8107,,31.2,1,31.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,58.0,758330,2.0,197.9833333333333,0.0
758331,2025-12-02 14:08:45,0 days 14:08:45,4473.0,0 days 00:07:02,9:51,0:08 behind 2:08:37PM,West to High Park,2025-12-02,1,Main St at Gerrard St East,4563,,0.1333333333333333,0,0.1333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,2.0,758331,0.0,2.65,0.0
